ID,Idioma,Nombre_Idioma,Texto,Split,Tokens,Caracteres,Palabras,Tokens_por_palabra,Tokens_por_caracter,Tokens_English,IDTL
0,eng_Latn,English,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",dev,49,264,43,1.1395348837209303,0.1856060606060606,49,1.0
1,eng_Latn,English,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",dev,41,229,36,1.1388888888888888,0.17903930131004367,41,1.0
2,eng_Latn,English,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",dev,36,137,24,1.5,0.26277372262773724,36,1.0
3,eng_Latn,English,The pilot was identified as Squadron Leader Dilokrit Pattavee.,dev,14,62,9,1.5555555555555556,0.22580645161290322,14,1.0
4,eng_Latn,English,Local media reports an airport fire vehicle rolled over while responding.,dev,12,73,11,1.0909090909090908,0.1643835616438356,12,1.0
5,eng_Latn,English,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",dev,16,67,10,1.6,0.23880597014925373,16,1.0
6,eng_Latn,English,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",dev,18,76,13,1.3846153846153846,0.23684210526315788,18,1.0
7,eng_Latn,English,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",dev,35,161,22,1.5909090909090908,0.21739130434782608,35,1.0
8,eng_Latn,English,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",dev,19,85,12,1.5833333333333333,0.2235294117647059,19,1.0
9,eng_Latn,English,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",dev,35,161,29,1.206896551724138,0.21739130434782608,35,1.0
10,eng_Latn,English,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",dev,54,234,36,1.5,0.23076923076923078,54,1.0
11,eng_Latn,English,Nadal's head to head record against the Canadian is 7–2.,dev,16,56,10,1.6,0.2857142857142857,16,1.0
12,eng_Latn,English,He recently lost against Raonic in the Brisbane Open.,dev,11,53,9,1.2222222222222223,0.20754716981132076,11,1.0
13,eng_Latn,English,Nadal bagged 88% net points in the match winning 76 points in the first serve.,dev,21,78,15,1.4,0.2692307692307692,21,1.0
14,eng_Latn,English,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",dev,36,152,31,1.1612903225806452,0.23684210526315788,36,1.0
15,eng_Latn,English,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",dev,36,147,24,1.5,0.24489795918367346,36,1.0
16,eng_Latn,English,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,dev,22,134,21,1.0476190476190477,0.16417910447761194,22,1.0
