ID,Idioma,Nombre_Idioma,Texto_Original,Texto_Optimizado,Tokens_Original,Tokens_Optimizados,Similitud,Reduccion_Tokens,Pct_Reduccion,Cumple_Restriccion
0,eng_Latn,English,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",49,49,1.0,0,0.0,True
1,eng_Latn,English,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",41,41,0.9999999,0,0.0,True
2,eng_Latn,English,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",36,36,1.0000001,0,0.0,True
3,eng_Latn,English,The pilot was identified as Squadron Leader Dilokrit Pattavee.,The pilot was identified as Squadron Leader Dilokrit Pattavee.,14,14,1.0000001,0,0.0,True
4,eng_Latn,English,Local media reports an airport fire vehicle rolled over while responding.,Local media reports an airport fire vehicle rolled over while responding.,12,12,1.0000001,0,0.0,True
5,eng_Latn,English,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",16,16,0.9999998,0,0.0,True
6,eng_Latn,English,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Since moving to the Catalan-capital, Vidal had played 49 games for the club.",18,18,1.0,0,0.0,True
7,eng_Latn,English,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",35,35,1.0,0,0.0,True
8,eng_Latn,English,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",19,19,0.99999976,0,0.0,True
9,eng_Latn,English,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",35,35,0.9999999,0,0.0,True
10,eng_Latn,English,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",54,54,0.9999998,0,0.0,True
11,eng_Latn,English,Nadal's head to head record against the Canadian is 7–2.,Nadal's head to head record against the Canadian is 7–2.,16,16,1.0000001,0,0.0,True
12,eng_Latn,English,He recently lost against Raonic in the Brisbane Open.,He recently lost against Raonic in the Brisbane Open.,11,11,0.99999994,0,0.0,True
13,eng_Latn,English,Nadal bagged 88% net points in the match winning 76 points in the first serve.,Nadal bagged 88% net points in the match winning 76 points in the first serve.,21,21,0.99999994,0,0.0,True
14,eng_Latn,English,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",36,36,1.0,0,0.0,True
15,eng_Latn,English,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",36,36,0.9999999,0,0.0,True
16,eng_Latn,English,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,22,22,0.9999999,0,0.0,True
